Tweets
Team Europe 👊 💙 https://t.co/dsfBw6vMxj
Always a pleasure 🚀 https://t.co/EKo7K8gRP3
So many great battles🤝 https://t.co/s83dI7sHuG
great day today boys. especially @DjokerNole 💪🏽 https://t.co/lo1NDdcF42
Novak H2Okovic 💪🏽 https://t.co/VI25b4ALkV
👋🏽 @elliegoulding your performance last night made the evening absolutely perfect. Can’t thank you enough for being there ❤️ https://t.co/kqzWcDJV7T
I will never forget the amazing memories Grande https://t.co/9cpxIQHD16
It was a magical evening yesterday. Thank you again to all the players and fans who were here to share this moment with me. It means the world  ❤️😊🙏🏼 https://t.co/IKFb6jEeXJ
"I’ve done this thousands of times, but this one feels different. Thank you to everybody who’s coming tonight. https://t.co/lmPWTNzjbn"
about to hit the practice courts one last time with @RafaelNadal. might do an IG Live on the way..
heading to dinner with some friends @RafaelNadal @andy_murray @DjokerNole https://t.co/2oYR3hnGaZ
just a quick warmup before the gala 🏓 https://t.co/U4udl8hKV4
Would be even cooler if you were here AROD https://t.co/TnJrmrV5G0
#Fedal https://t.co/DiTxIcXf7u
😥 thanks @ChrissieEvert. you’re the best. https://t.co/gXh08GXo5Z
Miss you Pistol. Your video means the 🌎 to me. Thank you. https://t.co/Oy55Hd7La2
here’s how to watch live 📺 tomorrow night: https://t.co/EzO2tl3hS3
Tomorrow night. My last match. Doubles with @RafaelNadal 💪🏽❤️ https://t.co/7yPwmtvTiJ
"So proud to be able to call you a friend
Thanks for everything. 👑 #Borg https://t.co/nsPPnvevtN"
Ready to take on the World 👊🤳 @CasperRuud98 @andy_murray @DjokerNole @cam_norrie @steftsitsipas https://t.co/tXeHuQKVvi
It was beautiful to release the news surrounded by my Mum and Dad and Mirka. Who would have thought that the journey would last this long. Just incredible! https://t.co/0rRAMRSaRu
"Means a lot Andre, loved our matches and miss you 🙏 https://t.co/tvoloGOs7I"
❤️ https://t.co/YxtVWrlXIF
"To my tennis family and beyond,

With Love,
Roger https://t.co/1UISwK1NIN"
"I am deeply saddened by the passing of Her Royal Majesty. Her elegance, grace and loyalty to her duty will live on in history. I would like to send my thoughts and condolences to the entire Royal Family and Great Britain. https://t.co/4rrUIPbLkV"
It is incredible that The Roger franchise launched just over 2 years ago. I’ve loved learning along the way and it has been so fun developing and bringing these products to life. I want to thank @RonnieFieg and the incredible team at @on_running for all their hard work. https://t.co/wi3EF06b3I
.@RonnieFieg 👀🎾👟 https://t.co/Ti0JoQg3dS
"Excited to announce that Laver Cup is partnering with The Duchess of Cambridge this year to raise funds for two incredible charities – @actionforchildrenuk and the @LTA Tennis Foundation. Thank you for your support, and I look forward to seeing you in London! https://t.co/7B82Gkj5EE"
"One of the great benefits of this unbelievable sport are moments like these. Zizou, all the best and keep working hard. 
P.S I always keep my pinky promises😏 🤜🤛 https://t.co/vVmE4EhdMZ"
You know you’re getting old when the candles cost more than the cake. 🤣                    Thanks for all the amazing birthday wishes.🍷🍰🎈 https://t.co/PG24ZyxvYr
Tennis and the @PostcodeLoterij have reunited us! It was a lot of fun to be part of yesterday’s tennis clinic on Playground Reigersbos in Amsterdam together with @krajiceknl and @EstherVergeer. 😃🎾👊🏼 https://t.co/Es9GQ7n5KD
Europe Avengers assemble 💪🏼 #teameurope #London https://t.co/LS44mzm6ji
"The RF shirt returns💥💥
This is for all my fans. Thanks for your constant support. 🙌🏼 https://t.co/44u6NtBxOh"
"We gave in… 😄
But we couldn‘t be happier, 
Welcome to the family Willow❤️
#delfie 🐶 https://t.co/pwePmm1IaK"
Congrats Jo Willy on an epic career. It was a pleasure to share the court with you. So many great memories💥🙌🏼                                         @tsonga7 https://t.co/1v1ak9wTEb
"I had a need for speed 🏎💨              Good Luck tomorrow @LewisHamilton @GeorgeRussell63 
@MercedesAMGF1 https://t.co/EZLcjmewoK"
Feeling like a tourist in my own country😂😝🇨🇭 https://t.co/PMPgqbUdA2
"Thank you for the incredible hospitality and standing commitment. We look forward to continuing our growing partnership in early childhood education in Malawi. 

#sustainabledevelopementgoals
#RogerFedererFoundation 
#educationempowers https://t.co/S0eIKMMNe8"
Malawi 🇲🇼 ❤️ https://t.co/BzQBgjNvMR
(RF)² https://t.co/YZFvgbRjgy
La Dolce Vita🇮🇹 https://t.co/74F8sKhNbn
"Super excited to hit the market in bigger numbers with the Roger Pro. We have spent a long time perfecting it. 💯🔥💪🏼
See the link in my bio for more info. @on_running https://t.co/bsTIeJtOic"
No one can beat the Grand Tour of Switzerland @MySwitzerland_e... not even me and Anne 🤔🇨🇭🚗 #IneedSwitzerland #InLoveWithSwitzerland  #paidpartnership https://t.co/yEKUtUXfWS
🕊💙💛 https://t.co/HEwb5NGREu
"Despite a challenging year in 2021 with the pandemic, we at the @rogerfedererfdn are extremely happy about the milestones achieved. A huge thanks to everyone who supported us and continues to inspire me each and every day. 📚Check out the annual report below:
#educationempowers https://t.co/hfaoJv2DdN"
👀🔜🇪🇺🇪🇺🇪🇺 https://t.co/kwKbOuO85j
I am thankful that Credit Suisse is supporting the @rogerfedererfdn.The collaboration has helped numerous vulnerable children secure a stronger #education and a better start in life. https://t.co/mYt24juv0b
"The Roger Federer Foundation is so proud to release our calendar for 2022 with all proceeds benefiting @rogerfedererfdn . I want to thank everyone for their support and wish you all a safe and happy holiday season. 

Calendars are available now at:

https://t.co/pri89r0nPQ https://t.co/QrMmKpubcU"
"Anyone need a tourist guide? I found a Springbok 😭🇿🇦roaming the streets of Zurich 🦌🇨🇭 @SiyaKolisi 
What a pleasure to see you Siya 🙌🏼 https://t.co/UWwnoxEGeS"
Great to see @FCBasel1893 legends ❤️💙 #matidelgado #marcostreller https://t.co/nRv2h4D5Mk
"🇨🇭 Sunday stroll
Autumn vibes 🍁 https://t.co/IflpaARSeS"
"Traum gsi die Überaschig, 
merci Jungs 
@FCBasel1893 https://t.co/rsrmcyOSZD"
Hopping aboard the Fedexpress!🚋🇨🇭Thank you for the incredible honor. It feels like just yesterday I was a boy getting to practice everyday on No.8 🙏🏼 Dangge Basel https://t.co/F396FkIg1H
"Pleasure was mine Renaud, 
you were all incredible. 🙏🏼 https://t.co/KujNW6L8Li"
Mazie Grille😎🍝 @rnadalacademy @Barilla https://t.co/9QFsHA6EYF
Great to see so many legends this weekend in Boston. @andyroddick @MonicaSeles10s @rodlaver                Boston it’s been real ☘️🚀 #LaverCup https://t.co/3sXUYOh85B
❤️ 👋 thank you Boston https://t.co/7TfkzwMllh
"Hello Boston!!!
@LaverCup https://t.co/dhIr2Qkro9"
😍🙌🏼 https://t.co/G2wRaS21SP
Mazie Grille @Barilla 🍝🙌🏼❤️ https://t.co/QpWVhX4yQy
https://t.co/ngIlD6MYew
"Congrats Novak on your 20th major. I'm proud to have the opportunity to play in a special era of tennis champions. Wonderful performance, well done!"
"Middle Sunday 
#Wimbledonthing https://t.co/RSveHlv5oU"
